"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1927-04","19","-0.72","-1.34","-13.77"
"1933-02","1934-10","18","-0.69","-1.54","-12.33"
"1936-01","1946-03","54","-0.54","-1.39","-28.97"
"1946-04","1950-10","32","-0.38","-1.18","-12.13"
"1952-03","1954-12","25","-0.81","-1.83","-20.32"
"1957-06","1963-09","34","-0.55","-1.63","-18.85"
"1964-04","1967-06","15","-0.44","-1.06","-6.58"
"1970-09","1975-02","39","-0.58","-1.32","-22.6"
"1975-04","1978-11","43","-0.63","-1.4","-27.06"
"1981-03","1982-01","10","-0.98","-1.59","-9.83"
"1983-03","1985-10","31","-0.79","-1.7","-24.63"
"1986-02","1993-03","26","-0.59","-1.7","-15.36"
"1993-05","1994-03","10","-0.41","-1.02","-4.1"
"1994-10","1996-12","22","-0.95","-1.68","-20.88"
"1998-01","2002-06","53","-1.53","-2.54","-81.16"
"2002-11","2004-05","18","-0.91","-1.88","-16.44"
"2005-03","2006-03","12","-0.89","-1.23","-10.73"
"2006-09","2014-10","92","-1.22","-2.62","-111.95"
"2015-03","2018-08","27","-0.37","-1.15","-9.98"
"2019-08","2019-12","5","-0.76","-1.09","-3.82"
