"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",327.8,74,72.9,80.7,66.1,73,0.56,190,29,0.66,31.9,42.5,"Rs52_MA"
"Max",1227.7,97,74.1,82,67.5,80,1,206,71,0.72,43.5,53.2,NA
"Min",0,62,69.7,77.6,62.9,70,0.52,168,12,0.72,25.3,36.3,NA
