"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",8.2,5.3,8.9,6.2,5.5,4,5.7,4.6,5.5,6.6,7.6,6.3,74
"Min TA [°F]",62.8,62.8,63.5,64.7,66.1,67.8,68.7,69.2,68.6,68.1,66.7,64.4,66.1
"Mean TA [°F]",69.7,69.7,70.3,71.4,73.1,74.9,75.5,76,75.5,75.2,73.1,70.9,72.9
"Max TA [°F]",78.1,78,78.3,78.9,80.5,82.4,82.8,83.4,83.5,82.8,80.8,78.7,80.7
"RH [%]",74,73,73,73,73,72,72,72,72,73,74,74,73
"CF [%]",57,68,72,69,70,69,68,65,58,63,66,64,66
"ET [in]",2,2,2,3,3,3,3,3,3,2,2,2,29
"SM [%]",59,58,59,60,55,52,52,53,53,56,59,58,56
"S [W m/2]",158,170,181,205,219,226,223,219,221,178,146,137,190
