"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",4355.4,34,59,68.8,51.2,84,0.42,185,18,0.55,17.8,16,"RS07_BI"
"Max",4736.5,40,60.5,70.1,52.9,85,0.52,191,20,0.58,22.1,17.5,NA
"Min",3838.5,30,57.9,67.8,49.9,82,0.39,179,16,0.58,14.9,14.8,NA
