"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",493.8,46,72.7,81,65.9,75,0.47,243,29,0.38,17.7,28.4,"RS13_BI"
"Max",931.8,57,74.1,82.3,67.4,79,0.87,250,69,0.42,22.6,33.9,NA
"Min",111.7,37,71.1,79.4,64.2,71,0.43,235,24,0.42,13.3,23.5,NA
