"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",5.3,3.6,6.2,4.2,2.7,3.2,3.6,3.2,2.3,2.7,4.5,4.6,46
"Min TA [°F]",62.4,62.4,63.1,64.4,65.8,67.3,68.4,69,68.7,68,66.3,64,65.9
"Mean TA [°F]",69.3,69.3,69.9,71.2,72.8,74.3,75.2,75.9,75.7,75.3,72.9,70.5,72.7
"Max TA [°F]",78.1,78,78.3,79.1,80.6,82,82.9,83.7,84.3,83.5,81,78.6,81
"RH [%]",76,75,75,75,75,74,74,74,74,75,76,76,75
"CF [%]",37,42,51,47,39,37,33,28,27,36,40,40,38
"ET [in]",2,2,3,3,3,3,3,3,2,2,2,2,29
"SM [%]",52,51,53,53,46,43,46,45,42,40,47,51,47
"S [W m/2]",187,217,229,270,285,290,288,292,273,229,189,173,243
