,date,RF_in_scale_3,RF_in_scale_3_calculated_index
0,1920-01-01,,
1,1920-02-01,,
2,1920-03-01,13.277084685791598,0.0996360784229484
3,1920-04-01,5.617627698077808,-0.861434492982665
4,1920-05-01,5.85889604159072,-0.5267450347681193
5,1920-06-01,4.310535416600644,-0.31568307225879166
6,1920-07-01,3.2475711128193274,-0.37953091659605465
7,1920-08-01,4.601584276859533,0.11866454920112753
8,1920-09-01,3.9117302168328174,-0.4758420834063844
9,1920-10-01,4.658948913156189,-0.4359854103821958
10,1920-11-01,3.0165299417054685,-1.2598096664973828
11,1920-12-01,20.994215774518363,1.5289545732810739
12,1921-01-01,28.129882941356897,1.4202672626696715
13,1921-02-01,28.79227015243763,1.4181270891453757
14,1921-03-01,11.841032646444734,-0.08143713105477188
15,1921-04-01,5.532281280469235,-0.8817970890739504
16,1921-05-01,6.278434448249297,-0.43013375872798126
17,1921-06-01,5.0501116147574745,-0.10241520686496784
18,1921-07-01,3.239160062815422,-0.38345004756677126
19,1921-08-01,2.0975162027289067,-1.0740400009569437
20,1921-09-01,2.9206911573226524,-0.9162202485609278
21,1921-10-01,3.620957911906002,-0.8439942743598552
22,1921-11-01,5.502526410299286,-0.3513790231936517
23,1921-12-01,9.934944481994746,0.15180662528724
24,1922-01-01,17.70344562856659,0.6056769593905725
25,1922-02-01,17.74323717110289,0.5193332336036923
26,1922-03-01,16.631825702174737,0.47667267176722916
27,1922-04-01,13.405597439540077,0.4683138610253546
28,1922-05-01,11.162533215983675,0.4616843648003228
29,1922-06-01,6.934044922974994,0.3586953815055294
30,1922-07-01,1.8696649445684517,-1.1486018663579953
31,1922-08-01,1.6958256701590413,-1.3518597743810596
32,1922-09-01,5.828532138419764,0.1938798287560663
33,1922-10-01,7.921411337614982,0.5381763171761705
34,1922-11-01,9.235290176675266,0.5810270217018163
35,1922-12-01,4.950059628723242,-0.8564893117092134
36,1923-01-01,16.691607160159005,0.5113925291705855
37,1923-02-01,22.787011373422413,0.9644243951277603
38,1923-03-01,28.76148700558595,1.5266992134926158
39,1923-04-01,24.396951145146705,1.6386465512362163
40,1923-05-01,16.661150740959524,1.1932195574326259
41,1923-06-01,11.155120024325402,1.150646388062902
42,1923-07-01,1.7285193073079155,-1.2483110823247796
43,1923-08-01,4.181878214273905,-0.04270548738233443
44,1923-09-01,8.477347378450178,0.9093483932846869
45,1923-10-01,9.565117167764457,0.9283815779529809
46,1923-11-01,7.087738187138791,0.08458737294099232
47,1923-12-01,10.090259403616574,0.17689527119963874
48,1924-01-01,8.726276639445054,-0.41431019156691445
49,1924-02-01,11.961911852026633,-0.1094606094250855
50,1924-03-01,6.320333078712586,-0.9671691257175696
51,1924-04-01,18.742399736902165,1.0921876284528866
52,1924-05-01,18.134179655827865,1.361861762129191
53,1924-06-01,16.429018421996894,1.9044559212727057
54,1924-07-01,5.997186742390781,0.6463107259655948
55,1924-08-01,4.166967339491915,-0.048635279875005
56,1924-09-01,6.069493896945774,0.26691362250333717
57,1924-10-01,7.671422865063861,0.47431240581509776
58,1924-11-01,8.646817009385579,0.45334167778055395
59,1924-12-01,19.4913481564067,1.375178664818812
60,1925-01-01,16.94129692487846,0.5349997601324854
61,1925-02-01,16.760759754427074,0.42327946756209817
62,1925-03-01,7.783689257183612,-0.6917467647086882
63,1925-04-01,8.919713016281271,-0.20029019185672794
64,1925-05-01,7.61717885614625,-0.14886803294170672
65,1925-06-01,4.111326996169178,-0.37739372872694465
66,1925-07-01,3.857983785034846,-0.11193818008060569
67,1925-08-01,4.28459304957445,-0.0022404134417568053
68,1925-09-01,6.876875172177698,0.4984468900105493
69,1925-10-01,8.32929781163855,0.6395966971913282
70,1925-11-01,8.79714221427366,0.48648909490399006
71,1925-12-01,11.783880434070472,0.4351345048120469
72,1926-01-01,11.899194864926157,0.004126246244331568
73,1926-02-01,10.700794892114926,-0.2729732963795236
74,1926-03-01,5.347363817854544,-1.1766668094376316
75,1926-04-01,2.5959023781482182,-1.7881159109706055
76,1926-05-01,2.5506744122386364,-1.5489313066628196
77,1926-06-01,4.529160015715121,-0.2501836847829642
78,1926-07-01,6.158331882163289,0.695603393238046
79,1926-08-01,8.473426460003427,1.2823173418423397
80,1926-09-01,7.555378585649787,0.6795374461666085
81,1926-10-01,7.787723478164326,0.5041910415474898
82,1926-11-01,6.689869019067986,-0.018070809296852862
83,1926-12-01,7.13624641679015,-0.35431837259078597
84,1927-01-01,6.980065363226496,-0.6918356239777093
85,1927-02-01,10.004008113240975,-0.36905029365308395
86,1927-03-01,13.281730250532899,0.1001999055375126
87,1927-04-01,20.1076605161905,1.2327883683198233
88,1927-05-01,17.36068017583955,1.2744366777633445
89,1927-06-01,12.562811261470197,1.3705586148583495
90,1927-07-01,3.7263279950269403,-0.16706715040695339
91,1927-08-01,3.748342920781539,-0.22133100692759664
92,1927-09-01,8.232810960169004,0.8500419858104854
93,1927-10-01,8.164395505760034,0.5989946181375478
94,1927-11-01,7.484345619828352,0.1831432459785467
95,1927-12-01,27.251278867438522,2.104315131243459
96,1928-01-01,28.40046175915981,1.4385981344547085
97,1928-02-01,29.72993672618894,1.4833717450131698
98,1928-03-01,6.3589964742535665,-0.9593375767692183
99,1928-04-01,7.830090004006031,-0.3961741535335338
100,1928-05-01,6.936817776149858,-0.2871487302706684
101,1928-06-01,6.201789777576493,0.190855436945366
102,1928-07-01,5.117121326208547,0.36051935674196256
103,1928-08-01,5.683441021699794,0.4936412346245315
104,1928-09-01,6.146099958982772,0.28972746597711874
