,Month,RF_in,rolledMonth,RF
0,January,2.4626027043678413,July,1.5389624259806973
1,February,1.6986616521024758,August,1.3534868497667065
2,March,2.1409749606743973,September,1.718664892860743
3,April,2.0435668204786763,October,1.842386161109504
4,May,1.8487649953077983,November,1.4253687964176531
5,June,1.5116424976546758,December,1.6041467131660945
6,July,1.5389624259806973,January,2.4626027043678413
7,August,1.3534868497667065,February,1.6986616521024758
8,September,1.718664892860743,March,2.1409749606743973
9,October,1.842386161109504,April,2.0435668204786763
10,November,1.4253687964176531,May,1.8487649953077983
11,December,1.6041467131660945,June,1.5116424976546758
