,Month,RF_in,rolledMonth,RF
0,January,7.635682952991369,July,2.815455031409465
1,February,6.897991604129388,August,4.5074856058530814
2,March,9.818701886467105,September,2.3483265499853148
3,April,9.057929274285872,October,4.227140452149887
4,May,3.623567023724449,November,8.084516850698101
5,June,1.8670672511368036,December,9.226011923555417
6,July,2.815455031409465,January,7.635682952991369
7,August,4.5074856058530814,February,6.897991604129388
8,September,2.3483265499853148,March,9.818701886467105
9,October,4.227140452149887,April,9.057929274285872
10,November,8.084516850698101,May,3.623567023724449
11,December,9.226011923555417,June,1.8670672511368036
