"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1921-11","11","-0.94","-1.77","-10.29"
"1924-08","1929-01","42","-0.95","-2.21","-39.98"
"1931-03","1934-10","37","-0.76","-1.75","-28.02"
"1934-11","1941-05","41","-0.44","-1.84","-17.87"
"1943-03","1946-12","45","-1.09","-2.22","-49.11"
"1947-02","1950-08","23","-0.74","-1.87","-16.94"
"1951-04","1954-12","44","-0.96","-2.19","-42.11"
"1955-12","1957-12","24","-0.82","-1.35","-19.69"
"1959-10","1965-01","53","-1.17","-3.07","-61.9"
"1965-11","1975-02","71","-0.8","-2.1","-56.89"
"1975-04","1977-08","28","-0.66","-2.08","-18.58"
"1977-09","1982-01","28","-0.83","-1.87","-23.3"
"1983-03","1986-04","37","-0.95","-1.83","-35.26"
"1987-04","1992-11","16","-0.61","-1.04","-9.7"
"1993-02","2008-02","56","-0.37","-1.31","-20.51"
"2008-11","2011-12","20","-0.51","-1","-10.27"
"2012-12","2019-12","11","-0.42","-0.92","-4.57"
