"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",4011.7,68,60.1,69.2,52.3,85,0.53,209,27,0.49,19,48.8,"Rs55_BI"
"Max",4788.4,87,62.2,70.9,54.7,86,0.58,221,37,0.5,24.9,61.9,NA
"Min",3231,51,57.8,67.4,49.7,82,0.48,198,23,0.5,15.3,35.5,NA
