,Month,NDVI,newMonth,newNDVI
0,1,0.7679785339660341,7,0.48241021391419986
1,2,0.6854018734228734,8,0.5940428630510696
2,3,0.5897594097001372,9,0.6040305410083051
3,4,0.43124882571383555,10,0.6981994072077763
4,5,0.33153407699608384,11,0.7281309606202526
5,6,0.3604683599525729,12,0.7823566788766789
6,7,0.48241021391419986,1,0.7679785339660341
7,8,0.5940428630510696,2,0.6854018734228734
8,9,0.6040305410083051,3,0.5897594097001372
9,10,0.6981994072077763,4,0.43124882571383555
10,11,0.7281309606202526,5,0.33153407699608384
11,12,0.7823566788766789,6,0.3604683599525729
