,Month,NDVI,Year,MonthYr
0,June,0.7653423076923078,2021,June 2021
1,July,0.6358887573964497,2021,July 2021
2,August,0.7859585798816568,2021,August 2021
3,September,0.7723020710059172,2021,September 2021
4,October,0.7545142011834319,2021,October 2021
5,November,0.7685801775147929,2021,November 2021
6,December,0.7632671597633136,2021,December 2021
7,January,0.7818417159763315,2022,January 2022
8,February,0.7071798816568048,2022,February 2022
9,March,0.6778943786982249,2022,March 2022
10,April,0.6948881656804734,2022,April 2022
11,May,0.7458893491124261,2022,May 2022
