,Month,NDVI,newMonth,newNDVI
0,1,0.335432554945055,March,0.3241466408591409
1,2,0.3478771978021978,April,0.296742032967033
2,3,0.3241466408591409,May,0.2812870004995005
3,4,0.296742032967033,June,0.2433562437562438
4,5,0.2812870004995005,July,0.21959316933066936
5,6,0.2433562437562438,August,0.23000608141858142
6,7,0.21959316933066936,September,0.23996088911088911
7,8,0.23000608141858142,October,0.2594026491365777
8,9,0.23996088911088911,November,0.2790721949103528
9,10,0.2594026491365777,December,0.31406414835164836
10,11,0.2790721949103528,January,0.335432554945055
11,12,0.31406414835164836,February,0.3478771978021978
