,Month,NDVI,Year,MonthYr
0,June,0.3413467032967033,2021,June 2021
1,July,0.2584362637362637,2021,July 2021
2,August,0.5915642857142858,2021,August 2021
3,September,0.799707142857143,2021,September 2021
4,October,0.8222153846153846,2021,October 2021
5,November,0.8408178571428573,2021,November 2021
6,December,0.7908236263736264,2021,December 2021
7,January,0.8337098901098902,2022,January 2022
8,February,0.803118131868132,2022,February 2022
9,March,0.5986123626373627,2022,March 2022
10,April,0.3292093406593407,2022,April 2022
11,May,0.5142563186813187,2022,May 2022
