,Month,NDVI,Year,MonthYr
0,March,0.32771923076923076,2021,March 2021
1,April,0.29487307692307696,2021,April 2021
2,May,0.2444038461538462,2021,May 2021
3,June,0.21076318681318681,2021,June 2021
4,July,0.19776346153846153,2021,July 2021
5,August,0.22106978021978024,2021,August 2021
6,September,0.2182879120879121,2021,September 2021
7,October,0.20482087912087915,2021,October 2021
8,November,0.202675,2021,November 2021
9,December,0.35926895604395603,2021,December 2021
10,January,0.4567596153846154,2022,January 2022
11,February,0.37157747252747253,2022,February 2022
