,Month,ET,Year,MonthYr
0,February,25.300287629335877,2021,February 2021
1,March,26.699277492086228,2021,March 2021
2,April,33.06348245127724,2021,April 2021
3,May,24.103292838874683,2021,May 2021
4,June,22.279761904761905,2021,June 2021
5,July,25.85224358974359,2021,July 2021
6,August,22.765450017176228,2021,August 2021
7,September,34.85307837345257,2021,September 2021
8,October,29.090299518778696,2021,October 2021
9,November,29.84856329000553,2021,November 2021
10,December,17.950614613530384,2021,December 2021
11,January,29.483834110311058,2022,January 2022
