"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1921-12","1927-04","27","-0.46","-1.02","-12.37"
"1928-12","1929-11","11","-0.48","-1.07","-5.33"
"1931-01","1934-09","32","-0.57","-1.4","-18.28"
"1934-12","1942-12","33","-0.58","-1.4","-19.25"
"1944-01","1944-03","2","-0.94","-1.02","-1.89"
"1944-05","1946-01","20","-0.6","-2.49","-12.03"
"1946-04","1946-12","8","-0.9","-1.1","-7.2"
"1947-01","1950-08","24","-0.37","-1.03","-8.88"
"1952-03","1954-12","33","-1.08","-2.09","-35.55"
"1957-04","1958-07","15","-0.59","-1.46","-8.92"
"1960-01","1961-11","22","-0.6","-1.35","-13.18"
"1962-10","1965-02","13","-0.67","-1.14","-8.7"
"1966-10","1974-01","42","-0.87","-1.78","-36.7"
"1975-01","1976-10","19","-0.57","-1.28","-10.9"
"1976-11","1978-12","25","-1.06","-2.18","-26.45"
"1981-03","1985-11","42","-0.65","-1.42","-27.19"
"1986-01","1993-03","31","-0.58","-1.49","-18.04"
"1993-05","1996-11","41","-0.7","-1.78","-28.71"
"1998-02","2002-04","50","-1.55","-2.36","-77.6"
"2003-04","2004-02","10","-0.7","-1.33","-7.04"
"2005-04","2007-12","20","-0.45","-1.5","-9.06"
"2008-03","2011-05","38","-0.81","-2.23","-30.7"
"2011-11","2014-03","28","-1.43","-2.43","-40.16"
"2016-09","2019-12","11","-0.3","-0.79","-3.33"
