"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",4466.7,32,58.7,68.3,50.6,83,0.4,188,24,0.5,9,22.6,"RS19_MA"
"Max",6640,36,63.8,73,56.1,86,0.52,213,29,0.53,10.3,26.2,NA
"Min",2997.9,27,51.6,61.8,43,71,0.36,184,15,0.53,7.7,19.3,NA
