,Month,NDVI,newMonth,newNDVI
0,1,0.335432554945055,July,0.21959316933066936
1,2,0.34782235653235655,August,0.23000608141858142
2,3,0.3221481844242714,September,0.23996088911088911
3,4,0.29285910176779745,October,0.2594026491365777
4,5,0.27722040133779263,November,0.2790721949103528
5,6,0.2415538580984233,December,0.31406414835164836
6,7,0.21959316933066936,January,0.335432554945055
7,8,0.23000608141858142,February,0.34782235653235655
8,9,0.23996088911088911,March,0.3221481844242714
9,10,0.2594026491365777,April,0.29285910176779745
10,11,0.2790721949103528,May,0.27722040133779263
11,12,0.31406414835164836,June,0.2415538580984233
