,datetime,NDVI
0,2000-02-18,0.6432224852071007
1,2000-03-05,0.7596414201183432
2,2000-03-21,0.595419526627219
3,2000-04-06,0.7027757396449704
4,2000-04-22,0.76151775147929
5,2000-05-08,0.7185621301775148
6,2000-05-24,0.7734136094674556
7,2000-06-09,0.750794674556213
8,2000-06-25,0.7264727810650888
9,2000-07-11,0.585207100591716
10,2000-07-27,0.7400183431952663
11,2000-08-12,0.7103278106508876
12,2000-08-28,0.712991124260355
13,2000-09-13,0.7407402366863906
14,2000-09-29,0.7483786982248521
15,2000-10-15,0.7611627218934911
16,2000-10-31,0.8098284023668639
17,2000-11-16,0.7790355029585799
18,2000-12-02,0.7860224852071007
19,2000-12-18,0.7994710059171598
20,2001-01-01,0.7912337278106509
21,2001-01-17,0.7777532544378698
22,2001-02-02,0.752407100591716
23,2001-02-18,0.7357272189349113
24,2001-03-06,0.7319059171597634
25,2001-03-22,0.6542739644970414
26,2001-04-07,0.6923431952662723
27,2001-04-23,0.6665017751479291
28,2001-05-09,0.6908923076923077
29,2001-05-25,0.7113041420118343
30,2001-06-10,0.36811005917159767
31,2001-06-26,0.6788988165680474
32,2001-07-12,0.6752378698224852
33,2001-07-28,0.7053798816568048
34,2001-08-13,0.6904958579881657
35,2001-08-29,0.7243585798816569
36,2001-09-14,0.759394674556213
37,2001-09-30,0.7606047337278107
38,2001-10-16,0.7607863905325444
39,2001-11-01,0.7172751479289942
40,2001-11-17,0.7832165680473373
41,2001-12-03,0.6088609467455622
42,2001-12-19,0.7633207100591717
43,2002-01-01,0.7749828402366864
44,2002-01-17,0.8055431952662723
45,2002-02-02,0.7758710059171599
46,2002-02-18,0.7228863905325444
47,2002-03-06,0.7475319526627219
48,2002-03-22,0.3715806060606061
49,2002-04-07,0.7532881656804734
50,2002-04-23,0.6433781065088758
51,2002-05-09,0.754685798816568
52,2002-05-25,0.7011153846153846
53,2002-06-10,0.7267349112426036
54,2002-06-26,0.6874130177514793
55,2002-07-12,0.7173928994082841
56,2002-07-28,0.7966769230769231
57,2002-08-13,0.7422378698224853
58,2002-08-29,0.7470636363636365
59,2002-09-14,0.7915491124260355
60,2002-09-30,0.8054355029585799
61,2002-10-16,0.6920047337278107
62,2002-11-01,0.7646467455621303
63,2002-11-17,0.7452319526627219
64,2002-12-03,0.7368550295857988
65,2002-12-19,0.7205023668639053
66,2003-01-01,0.7121988165680474
67,2003-01-17,0.7133781065088758
68,2003-02-02,0.739708875739645
69,2003-02-18,0.6983869822485207
70,2003-03-06,0.7130479289940829
71,2003-03-22,0.6912339285714285
72,2003-04-07,0.6933988165680474
73,2003-04-23,0.5844426035502959
74,2003-05-09,0.6977011834319526
75,2003-05-25,0.7135278106508876
76,2003-06-10,0.6934952662721894
77,2003-06-26,0.7606171597633137
78,2003-07-12,0.4542278106508876
79,2003-07-28,0.7673834319526628
80,2003-08-13,0.7383023668639054
81,2003-08-29,0.7324396449704141
82,2003-09-14,0.7515840236686391
83,2003-09-30,0.7067970414201183
84,2003-10-16,0.6827863905325444
85,2003-11-01,0.6959757396449705
86,2003-11-17,0.7038402366863906
87,2003-12-03,0.7723165680473373
88,2003-12-19,0.7919639053254439
89,2004-01-01,0.7917278106508876
90,2004-01-17,0.7994710059171598
91,2004-02-02,0.7628810650887575
92,2004-02-18,0.7439792899408284
93,2004-03-05,0.781724852071006
94,2004-03-21,0.7920260355029587
95,2004-04-06,0.6908810650887575
96,2004-04-22,0.7227627218934911
97,2004-05-08,0.6699426035502959
98,2004-05-24,0.7588917159763314
99,2004-06-09,0.6896988165680474
100,2004-06-25,0.7557721893491125
101,2004-07-11,0.6816727810650888
102,2004-07-27,0.7061325443786982
103,2004-08-12,0.7509579881656805
104,2004-08-28,0.6913
105,2004-09-13,0.6900147928994083
106,2004-09-29,0.6637497041420118
107,2004-10-15,0.6721479289940829
108,2004-10-31,0.7592360946745562
109,2004-11-16,0.7591911242603551
110,2004-12-02,0.7599023668639054
111,2004-12-18,0.7697940828402366
112,2005-01-01,0.7984479289940829
113,2005-01-17,0.7803686390532545
114,2005-02-02,0.7981017751479291
115,2005-02-18,0.7534644970414202
116,2005-03-06,0.7182023668639054
117,2005-03-22,0.6261879746835444
118,2005-04-07,0.7139437869822486
119,2005-04-23,0.7322615384615385
120,2005-05-09,0.7414360946745562
121,2005-05-25,0.7084384615384616
122,2005-06-10,0.7122201183431953
123,2005-06-26,0.6503857988165681
124,2005-07-12,0.7759869822485207
125,2005-07-28,0.757523076923077
126,2005-08-13,0.7604408284023669
127,2005-08-29,0.8107994082840237
128,2005-09-14,0.7540911242603551
129,2005-09-30,0.6871467455621303
130,2005-10-16,0.6980284023668639
131,2005-11-01,0.7539094674556214
132,2005-11-17,0.8003988165680475
133,2005-12-03,0.8082917159763314
134,2005-12-19,0.7931437869822486
135,2006-01-01,0.7619355029585799
136,2006-01-17,0.7816218934911243
137,2006-02-02,0.7501295857988166
138,2006-02-18,0.6204526627218935
139,2006-03-06,0.7388597633136095
140,2006-03-22,0.7364319526627219
141,2006-04-07,0.372103550295858
142,2006-04-23,0.6260254437869822
143,2006-05-09,0.6797692307692308
144,2006-05-25,0.7208449704142013
145,2006-06-10,0.7833491124260356
146,2006-06-26,0.7235147928994083
147,2006-07-12,0.7951751479289941
148,2006-07-28,0.7604100591715977
149,2006-08-13,0.7720863905325445
150,2006-08-29,0.7310970414201183
151,2006-09-14,0.7429331360946746
152,2006-09-30,0.7491727810650888
153,2006-10-16,0.7625544378698226
154,2006-11-01,0.7141414201183433
