"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",5.2,3.5,3.4,2.4,1.6,1.3,1.2,1.8,1.8,3,4,4.8,34
"Min TA [°F]",62.4,62.3,63.2,64.5,66,67.6,68.6,69.4,68.8,68,66.4,64,66
"Mean TA [°F]",69.3,69.2,70,71.4,73.1,74.8,75.7,76.4,75.8,75.3,72.9,70.5,72.9
"Max TA [°F]",78,77.8,78.5,79.4,81.1,82.7,83.6,84.4,84.4,83.4,81,78.6,81.1
"RH [%]",76,75,75,75,75,74,74,74,74,75,76,76,75
"CF [%]",54,55,61,57,54,54,49,49,40,49,50,51,52
"ET [in]",2,2,2,2,2,2,2,2,2,2,2,2,25
"SM [%]",64,63,61,60,57,54,53,54,56,58,61,63,59
"S [W m/2]",158,183,200,230,231,230,234,225,226,189,163,153,202
