"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"JAN",5.2,"SEL",10,2.97,0.9,-2.23,-4.3,0.31,0.39,0.17,0.18,12.9,8.28,2.3,-29.5,-67.7
"JAN",5.2,"WEL",13,4.7,1.1,-0.5,-4.5,0.46,0.59,0.18,0.2,12.9,11.1,3.1,-11.5,-62.6
"JAN",5.2,"NUT",20,6.5,1.1,1.3,1.1,0.62,0.5,0.18,0.15,12.9,14.1,1.8,7.7,-71
"JAN",5.2,"WLA",17,4.5,0.7,-0.7,-4.5,0.44,0.41,0.16,0.16,12.9,14,3.6,7,-59.4
"JAN",5.2,"SLA",10,7.3,2,2.1,-3.2,0.68,0.64,0.24,0.23,12.9,13.9,2.7,6.4,-65.2
"FEB",3.9,"SEL",9,2.54,0.7,-1.36,-3.2,0.33,0.36,0.15,0.08,10.5,6.41,2.1,-30.9,-63.4
"FEB",3.9,"WEL",8,3.5,0.9,-0.4,-2.1,0.45,0.58,0.17,0.1,10.5,8.5,3.1,-15.1,-55.9
"FEB",3.9,"NUT",27,3.6,0.5,-0.3,0.5,0.46,0.5,0.14,0.12,10.5,10.3,1.5,-1.5,-67.9
"FEB",3.9,"WLA",16,5,1.8,1.1,-2.1,0.64,0.52,0.25,0.23,10.5,12.9,3.6,18.1,-52.1
"FEB",3.9,"SLA",8,3.1,0.2,-0.8,-3.7,0.4,0.34,0.12,0.13,10.5,13.8,7.9,24.9,-19.6
"MAR",3.8,"SEL",7,2.77,0.7,-1.03,-3.1,0.37,0.49,0.17,0.18,8.3,5.42,2.3,-26.1,-54.3
"MAR",3.8,"WEL",5,2.9,1.1,-0.9,-2.7,0.38,0.51,0.2,0.23,8.3,6.8,2.5,-13.6,-52.5
"MAR",3.8,"NUT",37,4,0.2,0.2,0.2,0.52,0.5,0.13,0.14,8.3,8.6,1.4,2.7,-62.5
"MAR",3.8,"WLA",16,4.5,1.1,0.7,-2.7,0.58,0.54,0.2,0.17,8.3,9.2,2,8.2,-57
"MAR",3.8,"SLA",3,3.5,0.5,-0.3,-3.3,0.46,0.42,0.15,0.13,8.3,12.1,9.1,34.4,7.2
"APR",2.8,"SEL",2,1.1,0.7,-1.7,-2.1,0.25,0.19,0.2,0.1,5.6,3.75,2.2,-22.2,-40.7
"APR",2.8,"WEL",11,2.1,1.1,-0.7,-2.1,0.39,0.57,0.25,0.19,5.6,5.1,1.7,-6,-46.7
"APR",2.8,"NUT",41,2.7,0.8,-0.1,0.8,0.49,0.5,0.21,0.21,5.6,5.7,1.4,1.2,-50.3
"APR",2.8,"WLA",14,3.4,0.7,0.6,-2.1,0.6,0.48,0.2,0.17,5.6,5.6,1.1,0,-53.9
"APR",2.8,"SLA",1,7.2,7.2,4.4,4.4,0.97,0.88,0.97,0.88,5.6,8.9,8.8,39.6,38.3
"MAY",1.7,"SEL",2,1.55,0.9,-0.15,-0.8,0.45,0.44,0.27,0.27,4,3.77,2,-3.4,-29.7
"MAY",1.7,"WEL",14,1.8,0.3,0.1,-1.5,0.52,0.52,0.15,0.14,4,4,0.9,0,-45.9
"MAY",1.7,"NUT",40,1.9,0.4,0.2,0.4,0.54,0.49,0.17,0.17,4,4.2,1,2.9,-44.5
"MAY",1.7,"WLA",12,1.3,0.2,-0.4,-1.5,0.38,0.45,0.14,0.13,4,3.6,0.7,-5.9,-48.9
"MAY",1.7,"SLA",1,1.4,1.4,-0.3,-0.3,0.4,0.49,0.4,0.49,4,2.7,2.6,-19.3,-20.8
"JUN",1.1,"SEL",3,1.1,0.6,0,-0.5,0.52,0.49,0.31,0.3,3.8,4.33,1.5,8.1,-35.2
"JUN",1.1,"WEL",12,1.2,0.3,0.1,-0.9,0.56,0.53,0.2,0.21,3.8,4.1,1,4.6,-42.8
"JUN",1.1,"NUT",40,1.1,0.2,0,0.2,0.52,0.49,0.17,0.16,3.8,3.6,0.8,-3.1,-45.9
"JUN",1.1,"WLA",11,0.9,0.2,-0.2,-0.9,0.43,0.57,0.17,0.15,3.8,4,1.1,3.1,-41.2
"JUN",1.1,"SLA",2,0.3,0.2,-0.8,-0.9,0.2,0.2,0.17,0.15,3.8,2.1,1.5,-26,-35.2
"JUL",1.2,"SEL",6,1.12,0.5,-0.08,-0.7,0.46,0.52,0.18,0.19,4,5.11,1.2,16.4,-41.5
"JUL",1.2,"WEL",8,1,0.3,-0.2,-0.9,0.4,0.45,0.12,0.12,4,3.8,1,-3,-44.5
"JUL",1.2,"NUT",41,1.2,0.4,0,0.4,0.5,0.49,0.15,0.16,4,4,1,0,-44.5
"JUL",1.2,"WLA",9,1.4,0.3,0.2,-0.9,0.6,0.58,0.12,0.12,4,4.2,1.2,2.9,-41.5
"JUL",1.2,"SLA",2,1,1,-0.2,-0.2,0.4,0.38,0.4,0.38,4,2.4,1.6,-23.7,-35.6
"AUG",1.5,"SEL",7,2.11,0.4,0.61,-1.1,0.65,0.53,0.24,0.25,5.4,8.05,1.1,32.6,-52.8
"AUG",1.5,"WEL",12,1.9,0.4,0.4,-0.9,0.6,0.49,0.24,0.25,5.4,5.8,1.4,4.9,-49.1
"AUG",1.5,"NUT",34,1.3,0.2,-0.2,0.2,0.45,0.51,0.2,0.21,5.4,5.6,1,2.5,-54
"AUG",1.5,"WLA",12,1.7,0.6,0.2,-0.9,0.55,0.62,0.28,0.2,5.4,4.5,2,-11,-41.7
"AUG",1.5,"SLA",5,0.8,0.3,-0.7,-1.2,0.33,0.26,0.22,0.13,5.4,2.8,1.3,-31.9,-50.3
"SEP",1.3,"SEL",8,1.88,0.3,0.58,-1,0.69,0.7,0.18,0.16,7.8,10.1,1.1,21.8,-63.5
"SEP",1.3,"WEL",8,0.9,0.3,-0.4,-1,0.35,0.34,0.18,0.16,7.8,6.9,1.6,-8.5,-58.8
"SEP",1.3,"NUT",36,1.5,0.4,0.2,0.4,0.56,0.51,0.2,0.2,7.8,8.7,1,8.5,-64.5
"SEP",1.3,"WLA",11,1.1,0.3,-0.2,-1,0.42,0.63,0.18,0.13,7.8,6.9,2.4,-8.5,-51.2
"SEP",1.3,"SLA",5,0.6,0.3,-0.7,-1,0.26,0.28,0.18,0.13,7.8,6.2,1.6,-15.1,-58.8
"OCT",2.6,"SEL",10,4.06,0.4,1.46,-2.2,0.76,0.59,0.13,0.14,11.3,11.64,1.6,2.4,-69
"OCT",2.6,"WEL",10,3,0.7,0.4,-1.5,0.57,0.44,0.17,0.16,11.3,10.6,1.5,-5,-69.8
"OCT",2.6,"NUT",30,2.8,0.4,0.2,0.4,0.54,0.51,0.13,0.08,11.3,11.4,1.7,0.7,-68.3
"OCT",2.6,"WLA",10,1.7,1.1,-0.9,-1.5,0.32,0.58,0.22,0.27,11.3,10.9,2.3,-2.8,-64.1
"OCT",2.6,"SLA",8,1.4,0.7,-1.2,-1.9,0.27,0.42,0.17,0.13,11.3,12.6,3.6,9.3,-54.8
"NOV",3.9,"SEL",14,4.16,0.4,0.26,-3.5,0.53,0.57,0.14,0.14,13.9,10.55,2.1,-20.1,-70.9
"NOV",3.9,"WEL",12,3,0.6,-0.9,-2.9,0.39,0.41,0.15,0.15,13.9,12.3,1.9,-9.6,-72.1
"NOV",3.9,"NUT",22,4.4,0.2,0.5,0.2,0.56,0.5,0.13,0.15,13.9,15.1,2.4,7.2,-69.1
"NOV",3.9,"WLA",11,4.1,1,0.2,-2.9,0.52,0.5,0.18,0.16,13.9,13.7,1.9,-1.2,-72.1
"NOV",3.9,"SLA",11,4.2,0.6,0.3,-3.3,0.53,0.51,0.15,0.13,13.9,18.5,4.9,27.6,-54.1
"DEC",4.8,"SEL",13,3.42,0.8,-1.38,-4,0.35,0.39,0.13,0.17,13.9,8.93,2.4,-29.8,-69.1
"DEC",4.8,"WEL",11,4.6,0.2,-0.2,-4.6,0.48,0.5,0.1,0.13,13.9,12.8,2.2,-6.6,-70.3
"DEC",4.8,"NUT",22,4.2,1.1,-0.6,1.1,0.43,0.5,0.15,0.12,13.9,14.3,2.7,2.4,-67.3
"DEC",4.8,"WLA",11,5.1,0.2,0.3,-4.6,0.53,0.46,0.1,0.09,13.9,14.6,2.7,4.2,-67.3
"DEC",4.8,"SLA",9,7,2.3,2.2,-2.5,0.73,0.64,0.24,0.21,13.9,17.4,4.5,21,-56.5
