"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",477.6,34,72.9,81.1,66,75,0.59,202,25,0.52,10.6,23.3,"Rs40_OA"
"Max",859.6,37,74.2,82.3,67.4,78,0.81,211,53,0.53,12.1,25,NA
"Min",65.6,31,71.5,79.9,64.5,71,0.39,192,11,0.53,9.7,21.5,NA
