"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",496.7,55,72.4,80.4,65.6,75,0.52,206,32,0.52,21.6,33.4,"RS33_OA"
"Max",1176.1,85,74.3,82.4,67.6,80,0.58,212,55,0.55,37,47.8,NA
"Min",23,35,69.7,77.7,62.9,70,0.43,196,3,0.55,11.9,22.9,NA
