"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1923-02","14","-0.45","-1.05","-6.35"
"1924-02","1927-05","32","-1.02","-2.31","-32.77"
"1928-12","1934-10","40","-0.55","-1.59","-21.81"
"1936-02","1942-12","32","-1.01","-1.73","-32.48"
"1943-12","1946-03","27","-1","-1.72","-27.11"
"1946-04","1954-11","47","-0.88","-2.49","-41.38"
"1958-01","1963-04","47","-0.7","-1.63","-32.69"
"1964-04","1971-01","21","-0.63","-1.18","-13.3"
"1972-01","1974-03","25","-0.67","-1.54","-16.72"
"1975-07","1979-01","35","-0.99","-1.79","-34.56"
"1979-10","1982-01","15","-0.56","-1.14","-8.47"
"1983-04","1985-10","30","-0.94","-2.13","-28.29"
"1985-12","1993-07","36","-0.39","-1.08","-14.06"
"1993-09","1994-03","6","-0.43","-1.06","-2.58"
"1994-07","1996-09","26","-0.61","-1.13","-15.88"
"1996-10","2004-01","73","-1.06","-2.31","-77.24"
"2005-12","2008-02","16","-0.94","-1.85","-15"
"2008-03","2011-01","31","-0.7","-1.97","-21.69"
"2012-02","2014-10","30","-0.49","-1.22","-14.82"
"2015-01","2015-11","10","-0.82","-1.52","-8.23"
"2016-03","2018-09","21","-0.56","-1.04","-11.79"
"2019-04","2019-12","7","-0.54","-0.98","-3.8"
