"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",6,4.6,5.5,4.8,3.3,3.4,3.6,3,3.3,4.9,6,6.6,55
"Min TA [°F]",62.3,62.3,63,64.3,65.7,67.1,68.2,68.9,68.2,67.6,66.1,63.8,65.6
"Mean TA [°F]",69.1,69.1,69.8,71.1,72.7,74,74.9,75.7,75.1,74.8,72.5,70.1,72.4
"Max TA [°F]",77.7,77.8,78.2,79,80.4,81.6,82.5,83.5,83.5,82.7,80.5,78,80.4
"RH [%]",76,75,75,75,75,75,74,74,74,75,76,76,75
"CF [%]",53,54,59,58,56,53,49,47,39,52,54,51,52
"ET [in]",2,2,3,3,3,3,3,3,3,3,2,2,32
"SM [%]",56,54,53,53,51,49,49,48,48,51,54,56,52
"S [W m/2]",153,182,202,231,236,244,251,242,239,190,159,147,206
