"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1927-04","22","-0.85","-1.63","-18.73"
"1928-12","1929-11","11","-0.56","-1.21","-6.18"
"1931-03","1942-03","60","-0.49","-1.43","-29.56"
"1942-10","1945-04","18","-0.51","-1.15","-9.25"
"1945-06","1954-12","40","-0.77","-2.15","-30.78"
"1957-06","1961-02","39","-0.41","-1.15","-15.84"
"1961-05","1974-01","39","-0.55","-1.45","-21.56"
"1975-09","1978-11","38","-0.67","-1.55","-25.44"
"1981-01","1985-10","41","-0.59","-1.31","-24.14"
"1986-01","1995-01","55","-0.9","-3.06","-49.75"
"1995-02","1997-01","23","-1.08","-1.96","-24.87"
"1997-12","2004-05","77","-1.53","-2.67","-117.98"
"2005-02","2007-12","25","-0.65","-1.42","-16.13"
"2008-01","2011-11","46","-1.19","-3.62","-54.56"
"2012-01","2015-09","43","-0.66","-1.18","-28.29"
"2015-10","2019-12","7","-0.34","-0.69","-2.4"
