"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",1155.9,52,70.2,78.4,63.2,80,0.48,244,28,0.38,16.9,34.7,"RS24_MA"
"Max",2750.5,86,73.6,81.6,66.9,86,0.58,249,41,0.41,31.1,55.2,NA
"Min",131.1,32,65.2,73.7,57.8,72,0.39,211,23,0.41,9.2,22.7,NA
