"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",7.8,4.5,5.5,4.1,3.5,2.3,2.3,2.5,2.7,3.6,6.1,6.7,52
"Min TA [°F]",59.8,59.8,60.5,61.8,63.1,64.8,65.8,66.8,66,65.3,63.7,61.4,63.2
"Mean TA [°F]",66.8,66.7,67.4,68.7,70.1,71.9,72.7,74,73.1,72.7,70.2,67.8,70.2
"Max TA [°F]",75.6,75.4,75.9,76.7,77.9,79.8,80.6,82.1,81.8,80.9,78.3,75.8,78.4
"RH [%]",80,79,79,80,80,80,79,79,79,79,80,79,80
"CF [%]",43,46,50,48,39,31,22,22,29,42,42,43,38
"ET [in]",2,2,2,3,3,3,2,2,2,2,2,2,28
"SM [%]",58,56,52,51,47,42,38,38,40,43,51,56,48
"S [W m/2]",175,204,229,261,287,306,313,304,268,219,187,168,244
