"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",592.6,33,72.6,81,65.7,75,0.43,191,26,0.49,10.4,22.6,"Rs41_OA"
"Max",2557.1,53,74.7,82.9,67.9,86,0.53,205,42,0.52,17.9,35,NA
"Min",9.8,23,66.4,75.3,58.9,70,0.33,176,14,0.52,6.8,16.6,NA
