"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1921-12","1923-03","14","-0.62","-1.04","-8.74"
"1924-02","1927-03","25","-0.98","-1.64","-24.61"
"1928-12","1929-12","12","-0.93","-1.23","-11.11"
"1931-01","1932-02","13","-0.85","-1.28","-11.01"
"1933-11","1934-11","10","-0.55","-1.11","-5.48"
"1934-12","1942-12","43","-0.78","-1.88","-33.49"
"1943-12","1945-12","24","-0.62","-2.01","-14.77"
"1946-04","1948-04","24","-0.58","-1.37","-13.8"
"1948-05","1954-11","38","-0.89","-2.3","-33.77"
"1958-01","1958-03","2","-1","-1.18","-2"
"1959-03","1962-03","36","-0.95","-1.81","-34.28"
"1964-04","1964-12","8","-0.92","-1.25","-7.33"
"1970-01","1971-02","13","-0.67","-1.23","-8.66"
"1973-02","1974-04","14","-0.94","-1.54","-13.16"
"1975-06","1978-10","26","-0.81","-2.07","-21.13"
"1979-10","1982-01","18","-0.6","-1.16","-10.78"
"1983-10","1984-12","14","-1.37","-1.78","-19.18"
"1986-01","1996-09","74","-0.64","-1.74","-47.1"
"1998-02","2002-10","56","-1.24","-2.2","-69.28"
"2002-11","2004-01","14","-0.7","-1.19","-9.85"
"2005-12","2011-01","38","-0.55","-1","-20.81"
"2011-12","2014-08","32","-0.79","-1.56","-25.25"
"2014-09","2019-01","48","-0.49","-1.39","-23.3"
"2019-02","2019-12","11","-0.3","-0.58","-3.32"
