,Month,RF_in,rolledMonth,RF
0,January,10.61732295761889,July,4.413195694641504
1,February,8.056612429614646,August,4.321982837390112
2,March,10.329240899059752,September,4.706488228964614
3,April,7.496060031381922,October,4.679163860416196
4,May,5.297133451152426,November,8.230197463561419
5,June,4.631750950279332,December,9.331751669102388
6,July,4.413195694641504,January,10.61732295761889
7,August,4.321982837390112,February,8.056612429614646
8,September,4.706488228964614,March,10.329240899059752
9,October,4.679163860416196,April,7.496060031381922
10,November,8.230197463561419,May,5.297133451152426
11,December,9.331751669102388,June,4.631750950279332
