"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",825.4,32,71.8,80.2,64.7,78,0.5,231,33,0.4,7,24.6,"RS29_MO"
"Max",1272.4,43,73.2,81.6,66.2,81,1,238,84,0.42,10.9,32.1,NA
"Min",370.5,23,70.3,78.7,63.2,75,0.29,218,14,0.42,4.3,18.8,NA
