"Date","Year","Month","RF"
"1920/01","1920","01","3"
"1920/02","1920","02","0.5"
"1920/03","1920","03","2.3"
"1920/04","1920","04","1.5"
"1920/05","1920","05","1.2"
"1920/06","1920","06","0.5"
"1920/07","1920","07","0.5"
"1920/08","1920","08","0.6"
"1920/09","1920","09","0.1"
"1920/10","1920","10","0.7"
"1920/11","1920","11","2.6"
"1920/12","1920","12","6.6"
"1921/01","1921","01","7.7"
"1921/02","1921","02","1.6"
"1921/03","1921","03","1.8"
"1921/04","1921","04","0.9"
"1921/05","1921","05","0.8"
"1921/06","1921","06","0.2"
"1921/07","1921","07","0.3"
"1921/08","1921","08","0.3"
"1921/09","1921","09","0.2"
"1921/10","1921","10","2.9"
"1921/11","1921","11","4.5"
"1921/12","1921","12","8.5"
"1922/01","1922","01","4.8"
"1922/02","1922","02","2.1"
"1922/03","1922","03","2.4"
"1922/04","1922","04","1.5"
"1922/05","1922","05","0.2"
"1922/06","1922","06","0.3"
"1922/07","1922","07","0.3"
"1922/08","1922","08","0.4"
"1922/09","1922","09","2.6"
"1922/10","1922","10","2.3"
"1922/11","1922","11","1.7"
"1922/12","1922","12","0.3"
"1923/01","1923","01","12.7"
"1923/02","1923","02","6"
"1923/03","1923","03","5.5"
"1923/04","1923","04","7.4"
"1923/05","1923","05","0.2"
"1923/06","1923","06","0.4"
"1923/07","1923","07","0.4"
"1923/08","1923","08","0.4"
"1923/09","1923","09","1.1"
"1923/10","1923","10","1.8"
"1923/11","1923","11","1.7"
"1923/12","1923","12","6.6"
"1924/01","1924","01","0.4"
"1924/02","1924","02","2.6"
"1924/03","1924","03","2"
"1924/04","1924","04","5.9"
"1924/05","1924","05","1.8"
"1924/06","1924","06","0.3"
"1924/07","1924","07","1.6"
"1924/08","1924","08","0.7"
"1924/09","1924","09","0.6"
"1924/10","1924","10","1.3"
"1924/11","1924","11","4.1"
"1924/12","1924","12","7.6"
"1925/01","1925","01","0.8"
"1925/02","1925","02","1.5"
"1925/03","1925","03","2.3"
"1925/04","1925","04","2.5"
"1925/05","1925","05","1"
"1925/06","1925","06","0.9"
"1925/07","1925","07","1"
"1925/08","1925","08","0.4"
"1925/09","1925","09","0.7"
"1925/10","1925","10","2.2"
"1925/11","1925","11","2.2"
"1925/12","1925","12","4.8"
"1926/01","1926","01","3.1"
"1926/02","1926","02","1.4"
"1926/03","1926","03","1.3"
"1926/04","1926","04","1"
"1926/05","1926","05","0.3"
"1926/06","1926","06","2.3"
"1926/07","1926","07","0.6"
"1926/08","1926","08","1.5"
"1926/09","1926","09","0.9"
"1926/10","1926","10","3.7"
"1926/11","1926","11","1.4"
"1926/12","1926","12","1"
"1927/01","1927","01","6.3"
"1927/02","1927","02","3.6"
"1927/03","1927","03","3.9"
"1927/04","1927","04","10.9"
"1927/05","1927","05","1.8"
"1927/06","1927","06","0.4"
"1927/07","1927","07","1"
"1927/08","1927","08","0.5"
"1927/09","1927","09","1.3"
"1927/10","1927","10","0.4"
"1927/11","1927","11","4"
"1927/12","1927","12","12.5"
"1928/01","1928","01","1.4"
"1928/02","1928","02","2.3"
"1928/03","1928","03","1.7"
"1928/04","1928","04","1.5"
"1928/05","1928","05","1.8"
"1928/06","1928","06","0.5"
"1928/07","1928","07","1.5"
"1928/08","1928","08","0.4"
"1928/09","1928","09","0.1"
"1928/10","1928","10","0.1"
"1928/11","1928","11","1.4"
"1928/12","1928","12","1"
"1929/01","1929","01","10.8"
"1929/02","1929","02","2.7"
"1929/03","1929","03","0.3"
"1929/04","1929","04","0.8"
"1929/05","1929","05","1.4"
"1929/06","1929","06","0.3"
"1929/07","1929","07","0.5"
"1929/08","1929","08","0.5"
"1929/09","1929","09","0.7"
"1929/10","1929","10","0.4"
"1929/11","1929","11","10.2"
"1929/12","1929","12","8.9"
"1930/01","1930","01","4.9"
"1930/02","1930","02","6"
"1930/03","1930","03","4.2"
"1930/04","1930","04","0.8"
"1930/05","1930","05","0.4"
"1930/06","1930","06","0.5"
"1930/07","1930","07","0.1"
"1930/08","1930","08","0.4"
"1930/09","1930","09","2.8"
"1930/10","1930","10","1.8"
"1930/11","1930","11","8.3"
"1930/12","1930","12","0.6"
"1931/01","1931","01","0.3"
"1931/02","1931","02","0.5"
"1931/03","1931","03","3.1"
"1931/04","1931","04","2.8"
"1931/05","1931","05","1.6"
"1931/06","1931","06","0.6"
"1931/07","1931","07","0.7"
"1931/08","1931","08","1.1"
"1931/09","1931","09","2.4"
"1931/10","1931","10","4.5"
"1931/11","1931","11","1"
"1931/12","1931","12","2.6"
"1932/01","1932","01","0.6"
"1932/02","1932","02","9.6"
"1932/03","1932","03","2.5"
"1932/04","1932","04","1.7"
"1932/05","1932","05","1"
"1932/06","1932","06","0.7"
"1932/07","1932","07","0.4"
"1932/08","1932","08","0.4"
"1932/09","1932","09","0.9"
"1932/10","1932","10","0.5"
"1932/11","1932","11","1.1"
"1932/12","1932","12","3.4"
"1933/01","1933","01","0.6"
"1933/02","1933","02","3.5"
"1933/03","1933","03","4.7"
"1933/04","1933","04","1.9"
"1933/05","1933","05","0.7"
"1933/06","1933","06","0.2"
"1933/07","1933","07","0.3"
"1933/08","1933","08","0.3"
"1933/09","1933","09","0.2"
"1933/10","1933","10","0.1"
"1933/11","1933","11","2.6"
"1933/12","1933","12","8.1"
"1934/01","1934","01","2.3"
"1934/02","1934","02","3.9"
"1934/03","1934","03","2.5"
"1934/04","1934","04","3.6"
"1934/05","1934","05","1.8"
"1934/06","1934","06","1.2"
"1934/07","1934","07","0.3"
"1934/08","1934","08","0.6"
"1934/09","1934","09","1.1"
"1934/10","1934","10","1.9"
"1934/11","1934","11","3.3"
"1934/12","1934","12","1.7"
"1935/01","1935","01","4.5"
"1935/02","1935","02","1.9"
"1935/03","1935","03","5.3"
"1935/04","1935","04","0.5"
"1935/05","1935","05","0.8"
"1935/06","1935","06","1.3"
"1935/07","1935","07","0.3"
"1935/08","1935","08","0.3"
"1935/09","1935","09","0.3"
"1935/10","1935","10","2.3"
"1935/11","1935","11","1.2"
"1935/12","1935","12","2.6"
"1936/01","1936","01","2.6"
"1936/02","1936","02","1.8"
"1936/03","1936","03","3.4"
"1936/04","1936","04","4.6"
"1936/05","1936","05","1.3"
"1936/06","1936","06","0.8"
"1936/07","1936","07","0.4"
"1936/08","1936","08","0.8"
"1936/09","1936","09","1.5"
"1936/10","1936","10","5"
"1936/11","1936","11","3.9"
"1936/12","1936","12","2.5"
"1937/01","1937","01","4.3"
"1937/02","1937","02","13.9"
"1937/03","1937","03","4.2"
"1937/04","1937","04","1.6"
"1937/05","1937","05","1.9"
"1937/06","1937","06","0.5"
"1937/07","1937","07","1.5"
"1937/08","1937","08","1.8"
"1937/09","1937","09","0.3"
"1937/10","1937","10","0.8"
"1937/11","1937","11","1.7"
"1937/12","1937","12","4.2"
"1938/01","1938","01","3.6"
"1938/02","1938","02","3.7"
"1938/03","1938","03","3.3"
"1938/04","1938","04","8.3"
"1938/05","1938","05","3.2"
"1938/06","1938","06","0.4"
"1938/07","1938","07","2.2"
"1938/08","1938","08","3.1"
"1938/09","1938","09","0.1"
"1938/10","1938","10","2.1"
"1938/11","1938","11","0.8"
"1938/12","1938","12","3"
"1939/01","1939","01","3.1"
"1939/02","1939","02","1.6"
"1939/03","1939","03","3"
"1939/04","1939","04","10.1"
"1939/05","1939","05","2.3"
"1939/06","1939","06","0.4"
"1939/07","1939","07","0.2"
"1939/08","1939","08","0.4"
"1939/09","1939","09","1"
"1939/10","1939","10","8.4"
"1939/11","1939","11","3.7"
"1939/12","1939","12","2.3"
"1940/01","1940","01","6.7"
"1940/02","1940","02","1.3"
"1940/03","1940","03","5.4"
"1940/04","1940","04","1.3"
"1940/05","1940","05","4.9"
"1940/06","1940","06","0.8"
"1940/07","1940","07","0.5"
"1940/08","1940","08","2"
"1940/09","1940","09","2.4"
"1940/10","1940","10","1.4"
"1940/11","1940","11","5.2"
"1940/12","1940","12","4.9"
"1941/01","1941","01","1.9"
"1941/02","1941","02","0.8"
"1941/03","1941","03","2.6"
"1941/04","1941","04","0.1"
"1941/05","1941","05","1.3"
"1941/06","1941","06","0.5"
"1941/07","1941","07","0.3"
"1941/08","1941","08","0.4"
"1941/09","1941","09","0.5"
"1941/10","1941","10","4.8"
"1941/11","1941","11","0.9"
"1941/12","1941","12","2"
"1942/01","1942","01","0.7"
"1942/02","1942","02","4.7"
"1942/03","1942","03","9.5"
"1942/04","1942","04","2.3"
"1942/05","1942","05","0.4"
"1942/06","1942","06","0.3"
"1942/07","1942","07","0.4"
"1942/08","1942","08","1.1"
"1942/09","1942","09","0.3"
"1942/10","1942","10","7.1"
"1942/11","1942","11","3"
"1942/12","1942","12","5.7"
"1943/01","1943","01","9.1"
"1943/02","1943","02","3"
"1943/03","1943","03","3.7"
"1943/04","1943","04","1.3"
"1943/05","1943","05","4"
"1943/06","1943","06","0.1"
"1943/07","1943","07","0.8"
"1943/08","1943","08","1.2"
"1943/09","1943","09","0.2"
"1943/10","1943","10","0.2"
"1943/11","1943","11","0.4"
"1943/12","1943","12","2.9"
"1944/01","1944","01","1.1"
"1944/02","1944","02","2.5"
"1944/03","1944","03","10.9"
"1944/04","1944","04","1.9"
"1944/05","1944","05","0.1"
"1944/06","1944","06","1.3"
"1944/07","1944","07","0.3"
"1944/08","1944","08","0.3"
"1944/09","1944","09","0.1"
"1944/10","1944","10","1.9"
"1944/11","1944","11","1.5"
"1944/12","1944","12","3.2"
"1945/01","1945","01","0.6"
"1945/02","1945","02","0.5"
"1945/03","1945","03","1.1"
"1945/04","1945","04","12.1"
"1945/05","1945","05","0.7"
"1945/06","1945","06","0.1"
"1945/07","1945","07","0.9"
"1945/08","1945","08","0.4"
"1945/09","1945","09","1"
"1945/10","1945","10","0.8"
"1945/11","1945","11","0.6"
"1945/12","1945","12","2.2"
"1946/01","1946","01","8.6"
"1946/02","1946","02","0.9"
"1946/03","1946","03","1.2"
"1946/04","1946","04","0.7"
"1946/05","1946","05","1.1"
"1946/06","1946","06","0.4"
"1946/07","1946","07","1.1"
"1946/08","1946","08","0.5"
"1946/09","1946","09","0.3"
"1946/10","1946","10","3.9"
"1946/11","1946","11","1.7"
"1946/12","1946","12","5.9"
"1947/01","1947","01","1.9"
