"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1929-11","56","-0.47","-1.64","-26.3"
"1931-01","1934-08","36","-0.59","-1.28","-21.14"
"1934-12","1936-11","22","-0.53","-1.16","-11.69"
"1938-02","1942-04","13","-0.63","-1.52","-8.2"
"1942-06","1946-01","26","-0.48","-1.89","-12.45"
"1946-04","1948-01","21","-0.64","-1.11","-13.4"
"1949-01","1950-11","22","-0.63","-1.17","-13.76"
"1952-03","1954-12","33","-1.45","-2.63","-47.94"
"1957-01","1961-01","28","-0.77","-1.63","-21.44"
"1962-11","1965-03","14","-0.66","-1.11","-9.18"
"1970-01","1971-01","12","-0.82","-1.32","-9.89"
"1971-11","1974-01","25","-0.79","-1.6","-19.78"
"1974-12","1978-12","48","-0.68","-1.69","-32.8"
"1981-03","1985-10","34","-0.55","-1.15","-18.72"
"1986-11","1992-10","13","-0.4","-1.04","-5.2"
"1993-11","1996-11","29","-0.64","-1.49","-18.42"
"1998-03","2002-10","55","-1.31","-2.21","-71.92"
"2002-12","2004-01","13","-0.49","-1.45","-6.33"
"2005-12","2006-11","11","-0.69","-1.01","-7.55"
"2007-05","2014-03","82","-1.15","-2.76","-94.66"
"2015-05","2017-04","19","-0.37","-1.11","-6.97"
"2017-09","2019-12","1","-0.29","-0.29","-0.29"
