"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",631.8,50,72,80.3,65.3,76,0.56,221,37,0.44,20.2,30.2,"Rs36_KA"
"Max",1396.7,65,74,82.1,67.3,81,1,228,83,0.46,27.9,36.7,NA
"Min",32.3,38,69.5,77.9,62.6,71,0.44,211,12,0.46,13.8,24.4,NA
