"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1922-01","1927-04","52","-0.92","-2.16","-48"
"1928-12","1930-09","21","-0.83","-1.13","-17.39"
"1930-12","1932-02","14","-0.64","-1.2","-8.91"
"1932-10","1936-01","27","-0.69","-1.65","-18.72"
"1936-02","1942-12","41","-0.92","-1.95","-37.72"
"1944-01","1945-12","15","-0.59","-1.72","-8.87"
"1947-02","1954-10","32","-0.84","-1.9","-27.02"
"1958-01","1971-01","61","-0.55","-1.01","-33.85"
"1973-02","1974-01","11","-0.61","-1.35","-6.72"
"1975-11","1978-11","30","-0.58","-1.16","-17.5"
"1978-12","1980-06","10","-0.59","-1.53","-5.94"
"1981-05","1982-01","8","-0.77","-1.07","-6.13"
"1983-09","1987-12","51","-1","-2.22","-51.11"
"1991-01","1994-11","38","-0.9","-2.19","-34.34"
"1994-12","1996-01","13","-0.25","-1.03","-3.25"
"1997-11","2002-03","52","-1.22","-2.55","-63.65"
"2002-04","2004-09","22","-0.67","-1.41","-14.65"
"2005-12","2006-03","3","-1.07","-1.35","-3.2"
"2007-03","2008-08","17","-0.85","-1.74","-14.42"
"2008-11","2011-02","16","-1.08","-1.99","-17.31"
"2012-05","2013-12","19","-0.54","-1.13","-10.23"
"2014-01","2018-05","41","-0.73","-1.4","-30.01"
"2019-04","2019-12","7","-0.39","-0.7","-2.7"
