"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",5.5,4.2,5,3.6,3.1,3,3.2,3.1,3,4.7,5.7,6.2,50
"Min TA [°F]",61.8,61.8,62.6,63.9,65.2,66.7,67.7,68.4,67.9,67.2,65.7,63.4,65.3
"Mean TA [°F]",68.7,68.7,69.4,70.7,72.2,73.8,74.4,75.3,74.8,74.4,72.1,69.8,72
"Max TA [°F]",77.3,77.5,77.9,78.7,80,81.5,82.1,83.1,83.4,82.3,80.1,77.9,80.3
"RH [%]",77,76,76,76,76,76,76,75,75,76,77,77,76
"CF [%]",46,46,51,52,47,38,36,38,37,46,44,44,44
"ET [in]",3,3,3,3,3,3,4,3,3,3,3,3,37
"SM [%]",62,60,59,57,53,51,52,52,51,55,60,63,56
"S [W m/2]",163,194,219,242,257,275,279,260,245,197,170,153,221
