"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",2706.3,61,64.3,73.3,57.2,86,0.52,173,23,0.6,37.9,23.5,"RS11_BI"
"Max",3394.5,65,66.5,75.1,59.6,86,0.53,179,35,0.61,40.9,24.2,NA
"Min",1996.2,52,62.3,71.6,54.9,85,0.49,170,18,0.61,31.1,21.3,NA
