"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1921-09","1971-01","106","-0.34","-1.44","-36.38"
"1972-01","1974-06","25","-0.81","-1.73","-20.16"
"1976-02","1978-11","31","-0.9","-1.87","-27.86"
"1981-06","1982-02","8","-0.64","-1.04","-5.08"
"1983-03","1993-01","98","-0.45","-2.03","-44.18"
"1993-04","1996-12","43","-1.17","-1.88","-50.37"
"1997-12","2004-07","79","-1.59","-2.66","-125.82"
"2005-10","2015-09","119","-1.25","-2.62","-148.87"
"2016-09","2019-06","33","-0.79","-1.58","-26.14"
"2016-09","2019-12","0","NaN","Inf","0"
