,Month,RF_in,rolledMonth,RF
0,January,6.031966282947839,July,3.020534870713111
1,February,4.718978480569552,August,3.1877309588012785
2,March,5.07770623041407,September,2.8635716946304575
3,April,3.7401914290064147,October,4.051219610179469
4,May,2.893848265700056,November,4.951596878026297
5,June,2.551923123534416,December,6.354539238958647
6,July,3.020534870713111,January,6.031966282947839
7,August,3.1877309588012785,February,4.718978480569552
8,September,2.8635716946304575,March,5.07770623041407
9,October,4.051219610179469,April,3.7401914290064147
10,November,4.951596878026297,May,2.893848265700056
11,December,6.354539238958647,June,2.551923123534416
