"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",1625.9,25,69,77.8,61.7,83,0.35,216,20,0.44,7.7,17.7,"Rs45_LA"
"Max",1785,27,70.7,79.3,63.5,84,0.52,224,30,0.47,8.2,18.8,NA
"Min",1124,22,68.5,77.3,61.2,80,0.32,210,13,0.47,6.6,15.5,NA
