"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",3.8,3.1,2.5,1.9,1.6,0.9,0.7,1,1.4,2.1,2.9,3.6,25
"Min TA [°F]",58.3,58.2,59,60.3,61.6,63.5,64.4,65.2,64.4,63.7,62.2,59.8,61.7
"Mean TA [°F]",65.6,65.5,66.2,67.6,69.1,71.1,71.8,72.6,71.7,71.3,69.1,66.8,69
"Max TA [°F]",74.9,74.8,75.1,76.1,77.4,79.4,80.2,81.1,80.8,79.9,77.8,75.7,77.8
"RH [%]",82,82,83,84,85,85,84,83,82,83,82,82,83
"CF [%]",46,47,52,50,45,42,40,38,32,44,47,44,44
"ET [in]",2,2,2,2,2,1,1,1,2,2,2,2,20
"SM [%]",47,46,43,37,33,28,20,21,27,34,40,45,35
"S [W m/2]",164,194,210,236,248,264,256,256,245,198,165,160,216
