"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",152.4,20,74.3,82.6,67.4,71,0.56,204,34,0.45,5.3,14.9,"Rs35_KA"
"Max",835.6,23,74.8,83.1,68,78,1,213,70,0.47,6.4,16.4,NA
"Min",0,19,71.9,80.4,64.9,70,0.26,194,5,0.47,4.7,14.1,NA
