"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",3.3,2.4,2.1,0.8,0.9,0.3,0.4,0.6,0.8,2.3,2.7,3.6,20
"Min TA [°F]",63.7,63.7,64.6,65.9,67.3,69,70.1,70.8,70.3,69.4,67.8,65.3,67.4
"Mean TA [°F]",70.6,70.6,71.4,72.8,74.4,76.2,77.2,77.8,77.2,76.7,74.3,71.8,74.3
"Max TA [°F]",79.3,79.3,79.9,80.9,82.3,84,85.1,85.7,85.8,84.7,82.5,79.9,82.6
"RH [%]",73,72,71,71,71,70,70,71,70,72,73,73,71
"CF [%]",41,42,47,50,49,46,46,48,42,49,43,39,45
"ET [in]",3,3,3,3,3,3,3,3,3,3,3,3,34
"SM [%]",63,62,60,56,53,50,48,50,52,57,60,62,56
"S [W m/2]",171,200,221,232,236,232,223,214,205,184,171,162,204
