"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1923-01","23","-0.69","-1.88","-15.78"
"1924-01","1927-04","34","-0.92","-2.14","-31.2"
"1928-12","1930-01","13","-0.38","-1.05","-4.94"
"1931-01","1934-11","22","-0.5","-1.39","-11.11"
"1934-12","1946-02","43","-0.94","-2.81","-40.47"
"1946-04","1948-04","24","-0.77","-1.46","-18.39"
"1949-04","1954-08","45","-0.58","-1.93","-26.12"
"1958-01","1961-01","21","-0.52","-1.37","-11.02"
"1961-03","1964-12","21","-0.52","-1.04","-10.87"
"1970-01","1974-03","33","-0.78","-1.87","-25.86"
"1975-07","1978-11","30","-1.04","-2.15","-31.31"
"1979-10","1980-05","7","-0.53","-1.04","-3.73"
"1981-01","1982-01","12","-1.11","-1.65","-13.34"
"1983-07","1985-10","27","-1.1","-2.27","-29.58"
"1985-11","1987-12","25","-0.53","-1.11","-13.18"
"1990-10","1996-03","32","-0.5","-1.05","-16.04"
"1996-04","2002-05","57","-1.14","-2.01","-65.01"
"2002-06","2004-01","19","-0.59","-1.17","-11.3"
"2005-11","2011-05","54","-0.87","-1.84","-46.74"
"2012-01","2014-10","31","-0.72","-1.63","-22.34"
"2014-11","2016-07","20","-0.49","-1.43","-9.88"
"2016-09","2018-09","24","-0.63","-1.33","-15.03"
"2019-04","2019-12","6","-0.34","-0.62","-2.06"
