"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",5,4.3,6.1,3.5,2.9,2.7,2.8,2.7,3.4,4.8,5.1,4.2,48
"Min TA [°F]",63.4,63.4,64.2,65.5,66.9,68.5,69.5,70.1,69.7,68.8,67.3,65,66.9
"Mean TA [°F]",70.2,70.2,70.9,72.2,73.8,75.5,76.4,77,76.6,76,73.7,71.4,73.7
"Max TA [°F]",78.7,78.8,79.2,80,81.5,83.2,84.1,84.7,85.1,83.8,81.6,79.5,81.7
"RH [%]",74,73,72,72,72,71,71,71,71,72,74,73,72
"CF [%]",49,55,58,56,48,45,41,39,38,47,50,48,48
"ET [in]",3,3,3,4,4,4,4,4,4,3,3,3,41
"SM [%]",58,59,61,59,53,51,51,50,52,57,60,59,56
"S [W m/2]",163,190,214,246,269,273,275,270,252,205,171,156,224
