"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",208.4,48,73.7,81.7,66.9,72,0.56,224,41,0.48,19.3,28.2,"Rs39_OA"
"Max",683.9,62,74.5,82.5,67.7,76,1,235,87,0.52,26.5,35.2,NA
"Min",3.3,41,72,80.1,65.1,70,0.45,211,25,0.52,15.6,25.2,NA
