"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"OCT",4,"NUT",30,4.1,0.9,0.1,0.9,0.52,0.49,0.1,0.08,13.2,13.6,3,2.5,-64
"OCT",4,"WLA",10,3.2,1.8,-0.8,-2.2,0.37,0.61,0.18,0.17,13.2,12,3.4,-7.5,-61.5
"OCT",4,"SLA",8,2.4,1,-1.6,-3,0.26,0.33,0.11,0.05,13.2,13.2,4.8,0,-52.7
"NOV",4.9,"SEL",14,5.16,1.1,0.26,-3.8,0.53,0.6,0.15,0.19,14.2,11.41,3.8,-16.5,-61.4
"NOV",4.9,"WEL",12,3.2,1.1,-1.7,-3.4,0.32,0.39,0.15,0.19,14.2,11.2,2.7,-17.7,-67.9
"NOV",4.9,"NUT",22,5.6,1,0.7,1,0.58,0.5,0.14,0.13,14.2,15.7,3,8.8,-66.1
"NOV",4.9,"WLA",11,4.3,1.5,-0.6,-3.4,0.44,0.41,0.17,0.11,14.2,13.8,2.3,-2.3,-70.2
"NOV",4.9,"SLA",11,5.4,2.1,0.5,-2.8,0.56,0.57,0.22,0.15,14.2,17.3,5.8,18.3,-49.6
"DEC",4.3,"SEL",13,3.38,1.3,-0.92,-3,0.37,0.4,0.14,0.17,13.5,8.63,3.4,-30,-62.2
"DEC",4.3,"WEL",11,4.1,0.4,-0.2,-4.2,0.48,0.49,0.08,0.1,13.5,12,3.1,-9.2,-64
"DEC",4.3,"NUT",22,3.9,1.1,-0.4,1.1,0.45,0.5,0.12,0.1,13.5,14.2,3,4.3,-64.6
"DEC",4.3,"WLA",11,4.5,0.1,0.2,-4.2,0.54,0.48,0.06,0.06,13.5,14.3,2.6,4.9,-67.1
"DEC",4.3,"SLA",9,5.4,1.7,1.1,-2.6,0.66,0.6,0.17,0.15,13.5,15.4,4.1,11.7,-57.8
