,Unnamed: 0,Year,Month,RF_mm,RF_in,RF
1218,1218,2021.0,July,4.469169817027256,0.1759515675994982,0.1759515675994982
1219,1219,2021.0,August,14.825460033303887,0.5836795288702318,0.5836795288702318
1220,1220,2021.0,September,14.158121605596598,0.5574063624250629,0.5574063624250629
1221,1221,2021.0,October,10.223415826199323,0.4024966860708395,0.4024966860708395
1222,1222,2021.0,November,11.714684548462635,0.4612080530890802,0.4612080530890802
1223,1223,2021.0,December,239.24378100513707,9.419046496265238,9.419046496265238
1224,1224,2022.0,January,10.014257120662892,0.3942620913646808,0.3942620913646808
1225,1225,2022.0,February,15.45013401776376,0.6082729928253449,0.6082729928253449
1226,1226,2022.0,March,9.189216850777347,0.3617801909754862,0.3617801909754862
1227,1227,2022.0,April,5.684337237882897,0.2237928046410589,0.2237928046410589
1228,1228,2022.0,May,21.063511865378835,0.8292721206842062,0.8292721206842062
1229,1229,2022.0,June,20.35768125184189,0.801483513852043,0.801483513852043
