"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"OCT",1.1,"SLA",8,0.4,0.1,-0.7,-1,0.29,0.4,0.21,0.19,4.9,5.8,0.3,11.8,-60.2
"NOV",2,"SEL",14,1.89,0.1,-0.11,-1.9,0.48,0.58,0.18,0.24,6.5,4.53,0.2,-21.3,-68.1
"NOV",2,"WEL",12,1,0.1,-1,-1.8,0.32,0.4,0.18,0.24,6.5,5.5,0.3,-10.8,-67.1
"NOV",2,"NUT",22,2.4,0.1,0.4,0.1,0.57,0.5,0.18,0.15,6.5,7,0.3,5.4,-67.1
"NOV",2,"WLA",11,3,0.2,1,-1.8,0.68,0.64,0.2,0.16,6.5,7.7,0.4,13,-66
"NOV",2,"SLA",11,1.6,0.1,-0.4,-1.9,0.42,0.38,0.18,0.15,6.5,9.3,0.5,30.3,-64.9
"DEC",1.8,"SEL",13,1.04,0.1,-0.76,-1.7,0.36,0.42,0.21,0.19,6.4,3.43,0.3,-32.5,-66.7
"DEC",1.8,"WEL",11,1.4,0,-0.4,-1.8,0.42,0.51,0.19,0.17,6.4,6.3,0.4,-1.1,-65.6
"DEC",1.8,"NUT",22,1.5,0.1,-0.3,0.1,0.44,0.5,0.21,0.1,6.4,6.8,0.4,4.4,-65.6
"DEC",1.8,"WLA",11,2.4,0,0.6,-1.8,0.61,0.48,0.19,0.2,6.4,7.1,0.5,7.7,-64.5
"DEC",1.8,"SLA",9,3.8,0.1,2,-1.7,0.83,0.66,0.21,0.21,6.4,8.9,0.6,27.4,-63.4
