"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1921-01","1929-11","49","-0.4","-1.48","-19.8"
"1931-01","1945-04","93","-0.45","-2","-42.03"
"1946-04","1948-02","21","-0.52","-1.43","-10.88"
"1949-09","1954-12","38","-0.91","-2.08","-34.67"
"1957-02","1961-10","36","-0.53","-1.41","-19.15"
"1962-11","1964-12","10","-0.53","-1","-5.35"
"1966-11","1974-03","33","-0.68","-1.84","-22.34"
"1975-01","1978-12","45","-0.66","-1.84","-29.9"
"1981-01","1985-10","38","-0.52","-1.16","-19.69"
"1991-12","1996-12","48","-1.04","-1.78","-50.01"
"1998-01","2002-05","52","-1.09","-1.78","-56.5"
"2003-04","2004-05","13","-0.76","-1.68","-9.83"
"2005-05","2007-12","15","-0.41","-1.03","-6.09"
"2008-12","2015-08","80","-1.68","-3.36","-134.29"
"2016-04","2018-08","25","-0.47","-1.26","-11.77"
"2019-09","2019-12","4","-0.28","-0.37","-1.1"
