"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",2.4,2.1,0.9,1.1,0.6,1.6,0.6,0.4,0.8,1,1.9,1.9,15
"Min TA [°F]",61.8,61.7,62.6,63.9,65.3,67,68,68.7,68.2,67.4,65.7,63.3,65.3
"Mean TA [°F]",68.9,68.9,69.6,71.1,72.6,74.4,75.2,75.9,75.3,75,72.5,70.1,72.4
"Max TA [°F]",78.1,77.9,78.4,79.4,80.7,82.4,83.3,84,84.1,83.4,80.9,78.7,80.9
"RH [%]",78,77,77,77,77,77,77,76,76,77,78,77,77
"CF [%]",40,40,47,47,47,44,48,45,38,44,44,41,44
"ET [in]",2,2,2,1,1,2,1,0,1,1,1,2,15
"SM [%]",37,38,31,23,20,25,24,9,14,22,30,35,26
"S [W m/2]",179,213,227,253,254,260,233,232,227,203,177,170,219
