"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",8.4,6.7,11.2,9.8,5.6,3.9,6.1,5.5,4,4.9,8.1,7.9,82
"Min TA [°F]",60.8,60.8,61.4,62.5,64.1,65.8,66.8,67.2,67.1,66.3,64.5,62.4,64.2
"Mean TA [°F]",67.8,67.8,68.2,69.2,71.2,73,73.7,74.1,74.2,73.6,70.9,68.8,71
"Max TA [°F]",76.5,76.3,76.4,76.8,78.9,80.7,81.4,81.7,82.8,81.7,78.7,76.7,79.1
"RH [%]",78,78,78,78,78,78,78,77,77,78,78,78,78
"CF [%]",46,56,59,60,51,49,47,45,38,44,49,49,49
"ET [in]",3,2,3,3,3,3,3,3,3,3,2,2,35
"SM [%]",61,60,63,66,60,51,52,55,51,50,57,61,57
"S [W m/2]",175,190,208,233,252,255,255,255,251,215,176,162,219
