"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",842.8,82,71,79.1,64.2,78,0.57,219,35,0.49,30,52.2,"Rs53_BI"
"Max",1621,90,73.6,81.6,66.9,83,0.59,227,57,0.52,33.9,57.7,NA
"Min",0,71,68.3,76.5,61.3,72,0.55,204,25,0.52,26,45.3,NA
