"Start","End","Duration","A Intensity","P Intensity","Magnitude"
"1920-12","1921-11","11","-0.55","-1.41","-6.07"
"1922-12","1929-02","59","-0.67","-1.71","-39.28"
"1931-11","1934-10","23","-1.07","-1.74","-24.6"
"1934-11","1948-03","99","-0.65","-1.75","-64.48"
"1948-05","1950-12","28","-0.56","-1.5","-15.77"
"1951-11","1952-10","11","-0.54","-1.09","-5.99"
"1953-01","1954-12","23","-0.9","-1.64","-20.66"
"1955-12","1957-10","22","-0.64","-1.13","-14.08"
"1959-10","1965-01","52","-1.05","-2.65","-54.65"
"1965-08","1978-11","113","-0.73","-2.37","-83.01"
"1980-02","1982-03","13","-1.37","-2.11","-17.76"
"1983-04","1986-04","36","-0.59","-1.74","-21.34"
"1988-11","1992-11","16","-0.51","-1.1","-8.2"
"1996-01","2000-10","25","-0.43","-1.08","-10.79"
"2000-12","2002-01","13","-0.89","-1.27","-11.52"
"2003-03","2009-04","42","-0.74","-1.81","-31.24"
"2010-06","2014-01","43","-0.82","-1.64","-35.14"
"2014-02","2019-12","13","-0.32","-0.87","-4.2"
