,Month,RF_in,rolledMonth,RF
0,January,13.964087468487811,July,13.409959788408262
1,February,13.014373832908314,August,15.394787899881015
2,March,18.93947224316206,September,11.960675515486137
3,April,17.960310965616138,October,13.539604292283556
4,May,12.490934233673315,November,17.62150380240597
5,June,10.011586027132624,December,16.28897656836709
6,July,13.409959788408262,January,13.964087468487811
7,August,15.394787899881015,February,13.014373832908314
8,September,11.960675515486137,March,18.93947224316206
9,October,13.539604292283556,April,17.960310965616138
10,November,17.62150380240597,May,12.490934233673315
11,December,16.28897656836709,June,10.011586027132624
