"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",311.2,46,73.4,81.4,66.5,73,0.47,236,36,0.43,16.8,29,"Rs49_MA"
"Max",668.1,57,74.4,82.4,67.6,76,0.53,240,52,0.46,21.8,35,NA
"Min",0,37,72.1,80.3,65.3,70,0.42,229,21,0.46,12.7,23.8,NA
