"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",14.3,12.2,19.7,18.5,13.4,12.7,16.4,15,14.3,14.2,19.9,14.6,185
"Min TA [°F]",57.7,57.7,57.9,58.8,60,61.3,62.3,62.5,62.1,62.2,61,59.2,60.3
"Mean TA [°F]",64.5,64.4,64.3,64.9,66.2,67.7,68.2,68.7,68.8,68.9,66.9,65.2,66.6
"Max TA [°F]",72.9,72.7,72.2,71.9,73,74.7,74.9,75.6,76.8,76.3,74.1,72.6,74.1
"RH [%]",82,82,83,84,84,85,83,82,82,83,82,82,83
"CF [%]",58,71,76,73,73,73,66,66,62,68,68,64,68
"ET [in]",2,2,3,3,3,3,3,3,3,3,2,2,31
"SM [%]",77,76,79,81,78,75,77,78,77,77,79,79,78
"S [W m/2]",158,160,170,175,188,187,198,188,192,163,141,140,172
