"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",1588.5,185,66.6,74.1,60.3,83,0.78,172,31,0.68,86,99.3,"Rs58_BI"
"Max",1885.1,198,67.4,75,61.2,84,1,174,43,0.68,92.2,106.7,NA
"Min",1352.2,176,65.5,73.2,59.2,82,0.72,171,24,0.68,81.9,94.3,NA
