"Variable","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","ANN"
"RF [in]",3.5,2.3,3.4,2.7,1.7,1.1,1.6,1.4,1.1,1.2,2.2,2.2,24
"Min TA [°F]",49.3,49.1,49.8,51.1,52.4,54.4,55,55.7,55.1,54.4,53,50.7,52.6
"Mean TA [°F]",57.4,57,57.7,59.1,60.5,62.7,63,63.8,63.1,62.8,60.6,58.6,60.5
"Max TA [°F]",67.9,67.1,67.5,68.5,69.6,72,72.2,73.1,73,72.4,70.1,68.5,70.2
"RH [%]",80,80,84,88,86,88,86,86,87,86,83,81,85
"CF [%]",46,54,57,50,47,43,37,33,33,42,45,45,44
"ET [in]",2,2,2,2,2,2,2,2,1,1,1,1,20
"SM [%]",42,43,43,43,37,29,29,30,27,25,33,37,35
"S [W m/2]",183,198,206,225,240,251,265,261,248,210,182,177,220
