"Unit","Elev","RF","Tavg","Tmax","Tmin","RH","SM","KD","ET","CF","DryRF","WetRF","Short Name"
"Mean",4045.4,24,60.5,70.2,52.6,85,0.35,220,20,0.44,8.2,16.3,"RS02_BI"
"Max",4537.4,28,61.8,71.3,53.9,86,0.38,227,22,0.47,10.4,17.9,NA
"Min",3676,23,58.8,68.7,50.8,83,0.34,211,19,0.47,7.4,15.6,NA
