"Month","MRF","Phase","Count","MeRF","MnRF","MeAnom","MnAnom","A_ProbMe","E_ProbMe","A_ProbMn","E_ProbMn","MRF3M","MeRF3M","MnRF3M","QFP_Me","QFP_Mn"
"JAN",10.1,"SEL",10,6.45,2.4,-3.65,-7.7,0.31,0.41,0.14,0.19,28.4,17.25,6.1,-35.8,-71.6
"JAN",10.1,"WEL",13,9,1.6,-1.1,-9.3,0.44,0.57,0.12,0.16,28.4,27.1,8.5,-4.2,-63.9
"JAN",10.1,"NUT",20,13.8,3.9,3.7,3.9,0.7,0.5,0.2,0.13,28.4,33.2,8.1,15.4,-65.2
"JAN",10.1,"WLA",17,9.1,0.8,-1,-9.3,0.45,0.47,0.1,0.07,28.4,30.5,7.8,6.7,-66.1
"JAN",10.1,"SLA",10,10.1,4,0,-6.1,0.5,0.54,0.2,0.17,28.4,22.2,5.6,-19.9,-73.2
"FEB",7.9,"SEL",9,5.24,2,-2.66,-5.9,0.28,0.35,0.1,0.14,25.7,14.15,6.7,-40.6,-66.8
"FEB",7.9,"WEL",8,8.2,4.2,0.3,-5.1,0.52,0.6,0.21,0.28,25.7,24.4,10,-4.6,-55.2
"FEB",7.9,"NUT",27,8.4,1.3,0.5,1.3,0.54,0.5,0.08,0.09,25.7,26.8,5.6,3.9,-70.7
"FEB",7.9,"WLA",16,9.1,2.8,1.2,-5.1,0.6,0.6,0.14,0.09,25.7,29.4,7,13,-65.7
"FEB",7.9,"SLA",8,5.8,1,-2.1,-6.9,0.33,0.28,0.07,0.04,25.7,28.7,18.2,10.6,-26.4
"MAR",10.4,"SEL",7,5.56,1.7,-4.84,-8.7,0.24,0.38,0.11,0.17,24.1,19.06,11.1,-18.8,-48.4
"MAR",10.4,"WEL",5,9.9,2.7,-0.5,-6.2,0.47,0.67,0.13,0.21,24.1,23.5,7.6,-2.2,-61.5
"MAR",10.4,"NUT",37,11,2.9,0.6,2.9,0.53,0.5,0.14,0.12,24.1,25,6.1,3.4,-67
"MAR",10.4,"WLA",16,12.3,4.2,1.9,-6.2,0.61,0.56,0.19,0.19,24.1,24.7,5,2.2,-71.1
"MAR",10.4,"SLA",3,6.3,0.6,-4.1,-9.8,0.28,0.27,0.08,0.09,24.1,30.4,24.7,23.5,2.2
"APR",7.4,"SEL",2,3.35,3,-4.05,-4.4,0.2,0.18,0.18,0.14,19.9,24.27,17.3,19.3,-11.5
"APR",7.4,"WEL",11,6.3,3.1,-1.1,-7.4,0.41,0.57,0.18,0.15,19.9,19.4,6.8,-2.2,-57.8
"APR",7.4,"NUT",41,7.4,1.4,0,1.4,0.5,0.5,0.1,0.1,19.9,21,5.1,4.8,-65.4
"APR",7.4,"WLA",14,8,0,0.6,-7.4,0.55,0.47,0.06,0.08,19.9,16.1,3,-16.8,-74.6
"APR",7.4,"SLA",1,16.6,16.6,9.2,9.2,0.97,0.91,0.97,0.91,19.9,26.5,26.3,29.1,28.3
"MAY",6.3,"SEL",2,10.15,6.4,3.85,0.1,0.85,0.73,0.51,0.38,21,29.5,17.4,35.8,-15.2
"MAY",6.3,"WEL",14,7.3,1.8,1,-5.5,0.6,0.47,0.11,0.08,21,21.7,6.7,3,-60.2
"MAY",6.3,"NUT",40,6.6,1.8,0.3,1.8,0.53,0.5,0.11,0.12,21,22.5,6.6,6.3,-60.6
"MAY",6.3,"WLA",12,4.4,0.8,-1.9,-5.5,0.3,0.43,0.07,0.04,21,16.4,5.5,-19.4,-65.3
"MAY",6.3,"SLA",1,7.5,7.5,1.2,1.2,0.63,0.89,0.63,0.89,21,15.3,14.8,-24,-26.1
"JUN",6.2,"SEL",3,10.77,7.9,4.57,1.7,0.93,0.87,0.71,0.64,21.6,29.76,13.3,33.5,-34.1
"JUN",6.2,"WEL",12,5.8,1.9,-0.4,-4,0.45,0.42,0.08,0.1,21.6,22.8,7,4.9,-60
"JUN",6.2,"NUT",40,7,1.9,0.8,1.9,0.6,0.5,0.08,0.03,21.6,22.3,6.5,2.9,-62
"JUN",6.2,"WLA",11,3.7,2.2,-2.5,-4,0.21,0.58,0.09,0.17,21.6,18.2,6.4,-14,-62.4
"JUN",6.2,"SLA",2,2.4,2.2,-3.8,-4,0.11,0.21,0.09,0.17,21.6,12,9.8,-39.4,-48.5
"JUL",8.5,"SEL",6,8.58,3.1,0.08,-5.4,0.5,0.49,0.1,0.1,22.5,27.39,8.4,19.4,-55.8
"JUL",8.5,"WEL",8,8.6,3,0.1,-6,0.51,0.49,0.09,0.1,22.5,22.4,6.6,-0.4,-63
"JUL",8.5,"NUT",41,8.9,2.9,0.4,2.9,0.53,0.5,0.09,0.08,22.5,22.7,7,0.8,-61.4
"JUL",8.5,"WLA",9,8.3,2.5,-0.2,-6,0.48,0.6,0.08,0.11,22.5,23.3,6.7,3.2,-62.6
"JUL",8.5,"SLA",2,5.4,5.1,-3.1,-3.4,0.23,0.32,0.21,0.29,22.5,13.5,10.1,-35.7,-49.1
"AUG",6.9,"SEL",7,10.41,2.3,3.51,-4.6,0.71,0.56,0.22,0.22,22.6,30.46,8.4,31,-56
"AUG",6.9,"WEL",12,8.4,2.1,1.5,-5.2,0.59,0.47,0.22,0.21,22.6,23.6,5.3,3.9,-68.3
"AUG",6.9,"NUT",34,6.4,1.7,-0.5,1.7,0.46,0.5,0.2,0.19,22.6,22.3,5.4,-1.2,-67.9
"AUG",6.9,"WLA",12,6.2,1.7,-0.7,-5.2,0.45,0.57,0.2,0.09,22.6,23.5,6.8,3.5,-62.3
"AUG",6.9,"SLA",5,4.2,2.5,-2.7,-4.4,0.33,0.31,0.23,0.14,22.6,13.4,8.9,-36.3,-54
"SEP",7.1,"SEL",8,8.4,3,1.3,-4.1,0.58,0.66,0.27,0.21,25.8,28.96,8.1,11.1,-62
"SEP",7.1,"WEL",8,5.4,1.5,-1.7,-4.6,0.4,0.4,0.2,0.12,25.8,23,4.7,-9.8,-73.9
"SEP",7.1,"NUT",36,7.4,2.4,0.3,2.4,0.52,0.5,0.24,0.2,25.8,28.3,4.9,8.8,-73.2
"SEP",7.1,"WLA",11,8.8,2.5,1.7,-4.6,0.6,0.58,0.24,0.32,25.8,29.8,9.8,14,-56.1
"SEP",7.1,"SLA",5,3.9,2.5,-3.2,-4.6,0.31,0.37,0.24,0.32,25.8,16.8,8.6,-31.5,-60.3
"OCT",8.6,"SEL",10,11.65,3.1,3.05,-5.5,0.68,0.56,0.2,0.2,28.3,27.8,7,-1.6,-68.6
"OCT",8.6,"WEL",10,9.8,1.7,1.2,-6,0.57,0.47,0.14,0.16,28.3,27.5,4.3,-2.6,-77.3
"OCT",8.6,"NUT",30,8.5,1.3,-0.1,1.3,0.49,0.5,0.13,0.09,28.3,30,6.4,5.5,-70.5
"OCT",8.6,"WLA",10,8.5,2.6,-0.1,-6,0.49,0.64,0.18,0.18,28.3,32.3,8.1,12.9,-65.1
"OCT",8.6,"SLA",8,5.3,3.9,-3.3,-4.7,0.3,0.37,0.23,0.26,28.3,23.8,7.8,-14.5,-66
"NOV",10.1,"SEL",14,8.91,2,-1.19,-8.1,0.43,0.53,0.13,0.18,29.8,22.6,6.3,-22.1,-72.2
"NOV",10.1,"WEL",12,7.8,1.5,-2.3,-5.4,0.37,0.47,0.12,0.16,29.8,26.7,4.2,-9.5,-78.7
"NOV",10.1,"NUT",22,12.4,1.2,2.3,1.2,0.62,0.5,0.11,0.1,29.8,35.3,9,16.9,-63.9
"NOV",10.1,"WLA",11,12.5,4.7,2.4,-5.4,0.63,0.67,0.23,0.16,29.8,32.9,6.3,9.5,-72.2
"NOV",10.1,"SLA",11,7.6,2.2,-2.5,-7.9,0.36,0.32,0.14,0.07,29.8,28.6,7.9,-3.7,-67.3
"DEC",9.6,"SEL",13,7.24,1.9,-2.36,-7.7,0.35,0.38,0.09,0.13,27.6,18.93,6.3,-28.6,-70.2
"DEC",9.6,"WEL",11,9.9,1.1,0.3,-8.8,0.52,0.54,0.07,0.1,27.6,27.1,6.9,-1.6,-68.2
"DEC",9.6,"NUT",22,9.1,3.9,-0.5,3.9,0.47,0.5,0.17,0.1,27.6,31.3,9.1,12.2,-61
"DEC",9.6,"WLA",11,11.3,0.8,1.7,-8.8,0.62,0.56,0.07,0.07,27.6,29.5,4.4,6.3,-76.4
"DEC",9.6,"SLA",9,10.9,1.7,1.3,-7.9,0.59,0.53,0.09,0.09,27.6,26.8,6.7,-2.6,-68.9
